2016-10-07 16:28:21 - PHP Notice:  Undefined variable: entry_export in /var/www/html/sandet/public/admin/view/template/tool/backup.tpl on line 43
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 572
2016-10-19 9:47:03 - PHP Notice:  Undefined index: key in /var/www/html/sandet/public/catalog/model/shipping/correios.php on line 577
2016-10-19 12:20:44 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 15:06:49 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 19:18:07 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 21:26:21 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 21:57:49 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-19 22:55:14 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-20 12:20:46 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-20 12:23:01 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
2016-10-20 16:34:15 - PHP Warning:  array_slice() expects parameter 1 to be array, string given in /var/www/html/sandet/public/catalog/controller/module/tm_single_category_product.php on line 137
